مَعَ | Maʿa | With | |
مَعِي | Maʿii | With me | |
دُعَاء | Dua | Calling (With Feeling) | Masculine |
هُدى | Huda | Guidance | Feminine |
طَلَبَ | Taalaba | Requested | Masculine |
دَرَسَ | Darasa | Studied | Masculine |
كَافِر | Kafir | Denier, Disbeliever | Masculine |
كَفَرَة | Kafarah | Disbelief | Feminine |
فَتْحَة | Fatha | Opening | Feminine |
فَتَّاح | Fatih | Opener | Masculine |
وَلَد | Walad | Boy, Son | Masculine |
وَالِدَي | Waliday | My parents | Masculine |
أُسْرَة | Usra | Family | Feminine |
عَالِي | Ali | High | Masculine |
أَعْلى | A'la | Higher | Masculine | 
صُورَة | Suwarah | Picture | Feminine |
شاء | Shaa | Willed | Masculine |
سَعِيد | Sa'id | Happy | Masculine |
عَبْد | Abd | Slave | Masculine |
حَزِين | Hazeen | Sad |  |
أَخْوَات | Akhwat | Sisters | Feminine |
عُمْر | 'Umur | Age | Masculine |
عُثْمَان | Othman | Snake | Masculine |
شَجَرَة | Shajarah | Tree | Feminine |
رِسَالَة | Risalah | Message | Feminine |
رَسُول | Rasul | Messenger | Masculine |
صَلَّى | Salah | Prayed | Masculine |
صَلِّ | Sali | Pray | Masculine |
يُصَلِّي | Yusali | He prays | Masculine |
مُصَلِّي | Musali | One who prays | Masculine |
صَلَوَات | Salawat | Prayers | Feminine |
عَلَيْهِ | Alaihi | Upon him | Masculine |
ذَلِكَ | Dhalika | That | Masculine |
تِلْكَ | Tilka | That | Feminine |
وَلَدَ | Walada | Gave birth | Masculine |
عِبَادٌ | Ibad | Slaves | Masculine |
عِبَادَةٌ | Ibadah | Worship | Feminine |
إِيمَانٌ | Iman | Faith, Belief | Masculine |
عَمٌّ | Amm | Uncle (Father's Side) | Masculine |
عَمَّةٌ | Ammah | Aunt (Father's Side) | Feminine |
خَالٌ | Khāl | Uncle (maternal) | Masculine |
خَالَةٌ | Khalah | Aunt (maternal) | Feminine |
حِوَارٌ | Hiwar | Dialogue, Conversation | Masculine |
اسْمَعْ | Isma | Listen | Masculine |
اِسْتَمِعْ | Istamia | Listen Carefully, Listen Attentively | Masculine |
اُعِدْ | Ud | Repeat | Masculine |
أُمَّهَاتٌ | Ummahat | Mothers | Feminine |
آبَاءٌ | Abaa | Fathers | Masculine |
أَذَانٌ | Adhan | Call to prayer | Masculine |
انْفِجَارٌ | Infijar | Explosion | Masculine |
فَجْرٌ | Fajr | Dawn | Masculine |
كَبِيرٌ | Kabir | Big | Masculine |
أَكْبَرُ | Akbar | Bigger | Masculine |
أَحْسَنُ | Ahsan | Better | Masculine |
سَعَادَةٌ | Sa'adah | Happiness | Feminine |
حَمَّامٌ | Hammam | Bathroom | Masculine |
ضِوءٌ | Dīw | Light | Masculine |
نُورٌ | Nūr | Light | Masculine |
غُرْفَةٌ | Ghurfah | Room | Feminine |
غُرَفٌ | Ghuraf | Rooms | Masculine |
اقرأ | Iqra | Read (Command) | Masculine |
قَرَأَ | Qara'a | Read (past tense) | Masculine |
يَقْرَأُ | Yaqra'u | He reads | Masculine |
قَمِيصٌ | Qamīṣ | Shirt | Masculine |
مِعْطَفٌ | Miʿṭaf | Jacket | Masculine |
نَظَرَ | Naẓara | Looked | Masculine |
يَنْظُرُ | Yandhuru | He looks | Masculine |
أُنْظُرْ | Undhur | Look | Masculine |
حَيَّا بَيْنَنَا | Haya baynana | Let's go | Masculine |
حَيٌّ | Ḥayy | Alive | Masculine |
هَيَّا | Hayya | Come | Masculine |
سَجَدَ | Sajada | Prostrated | Masculine |
يَسْجُدُ | Yasjud | He prostrates | Masculine |
اسْجُدْ | Usjud | Prostrate | Masculine |
سَاجِدٌ | Sajid | One who prostrates | Masculine |
سَاجِدَةٌ | Sajadah | Prayer rug | Feminine |
مَسْجِدٌ | Masjid | Mosque | Masculine |
مَسَاجِدُ | Masajid | Mosques | Masculine |
قَالَ | Qala | He said | Masculine |
قُلْ | Qul | Say | Masculine |
سُكُونٌ | Sukun | Tranquility, Absence of movement | Masculine |
أَسْكُنُ | Askunu | I inhabit, I Live | Masculine |
شَقَّةٌ | Shaqah | Apartment, Flat | Feminine |
طار | Ṭāra | Flew | Masculine |
مَطَارٌ | Maṭār | Airport | Masculine |
طَائِرٌ | Ṭā'ir | Bird | Masculine |
طَائِرَةٌ | Ṭā'irah | Aeroplane, Airplane, Plane | Feminine |
جَمَعَ | Jamaʿa | Gather | Masculine |
رَقْمٌ | Raqm | Number | Masculine |
أَجْرٌ | Ajr | Wage, Salary, Reward | Masculine |
أُجُورٌ | Ujūr | Wages, Salaries, Rewards | Masculine |
مُسْتَأْجِرٌ | Musta'jir | Tenant | Masculine |
مُؤَجِّرٌ | Mu'ajjir | Landlord | Masculine |
أُرِيدُ | Uriidu | Want | Masculine |
انْشِقَاقٌ | Inshaqāq | Splitting | Masculine |
فَضْلٌ | Fadl | Favor | Masculine |
لَدَيْنَا | Ladayna | We have | Masculine |
عِنْدِي | Indee | I have | Masculine |
كَمْ | Kam | How much, How many | Masculine |
أَيٌّ | Ayy | Which | Masculine |
دَوْرٌ | Dawr | Level | Masculine |
شَاهِدَةٌ | Shahidah | Bear Witness | Feminine |
شَاهِدٌ | Shahid | Witness (noun) | Masculine |
شَاهَدَ | Shaahada | Watched | Masculine |
شَهِيدٌ | Shahid | Martyr | Masculine |
ادْخُلْ | Udkhul | Enter | Masculine |
دَخَلَ | Dakhal | Entered | Masculine |
يَدْخُلُ | Yadkhulu | He enters | Masculine |
بَابٌ | Bab | Door | Masculine |
أَبْوَابٌ | Abwab | Doors | Masculine |
مُشْتَرٍ | Mushtar | Buyer | Masculine |
اشْتَرَى | Ishtara | Bought | Masculine |
بَائِعٌ | Baa' | Seller | Masculine |
بَيْعٌ | Bay' | Selling | Masculine |
خِدْمَةٌ | Khidmah | Service | Feminine |
بَعْضٌ | Ba'd | Some | Masculine |
بَعْدَ | Ba'da | After | Masculine |
نَوْمٌ | Nawm | Sleep | Masculine |
سَرِيرٌ | Sareer | Bed | Masculine |
سِتَارَةٌ | Sitarah | Curtain | Feminine |
جُلُوسٌ | Julus | Sitting | Masculine |
قِيَامٌ | Qiyaam | Standing | Masculine |
قُمْ | Qum | Stand | Masculine |
كُرْسِيٌّ | Kursi | Chair | Masculine |
مَطْبَخٌ | Matbakh | Kitchen | Masculine |
ثَلْجٌ | Thalj | Ice | Masculine |
ثَلَّاجَةٌ | Thallajah | Fridge | Feminine |
أَرَائِكُ | Araiik | Couches | Feminine |
أَرِيكَةٌ | Areekah | Couch | Feminine |
سِخَانٌ | Sikhaan | Heater | Masculine |
شَيْءٌ | Shay' | Thing | Masculine |
أَشْيَاءُ | Ashyaa | Things | Feminine |
آخِرٌ | Akhir | Last | Masculine |
آخَرُ | Akhar | Another | Masculine |
شَكَرَ | Shakar | Thanked | Masculine |
فَضَّلَ | Fadhdhala | Preferred | Masculine |
تَفَضَّلْ | Tafadhal | Please, Go Ahead | Masculine |
وَاحِد | Wāḥid | One | Masculine | Number
اِثْنَان | Ithnān | Two | Masculine | Number
ثَلَاثَة | Thalātha | Three | Feminine | Number
أَرْبَعَة | Arba'a | Four | Feminine | Number
خَمْسَة | Khamsa | Five | Feminine | Number
سِتَّة | Sitta | Six | Feminine | Number
سَبْعَة | Sab'a | Seven | Feminine | Number
ثَمَانِيَة | Thamāniya | Eight | Feminine | Number
تِسْعَة | Tis'a | Nine | Feminine | Number
عَشَرَة | 'Ashara | Ten | Feminine | Number
الأَحَد | Al-'Aḥad | Sunday | Masculine | Day
الاِثْنَيْن | Al-Ithnayn | Monday | Masculine | Day
الثُّلاثَاء | Ath-Thulāthā' | Tuesday | Masculine | Day
الأَرْبِعَاء | Al-Arbi'ā' | Wednesday | Masculine | Day
الخَمِيس | Al-Khamīs | Thursday | Masculine | Day
الجُمُعَة | Al-Jumu'a | Friday | Feminine | Day
السَّبْت | As-Sabt | Saturday | Masculine | Day
حَيَاة | Ḥayāt | Life | Feminine |
مَوْت | Mawt | Death | Masculine |
مَيِّت | Mayyit | Person who died | Masculine |
أَمْوَات | Amwāt | Deceased (plural) | Masculine |
يَوْم | Yawm | Day | Masculine |
طَارِق | Ṭāriq | Knocker | Masculine |
طاهِر | Ṭāhir | Pure | Masculine |
نَجِس | Najis | Impure | Masculine |
نَوْم | Nawm | Sleep | Masculine |
في | Fī | At, In |  |
دُنْيَا | Dunyā | World, Life | Feminine |
آخِرَة | Ākhirah | Hereafter / Afterlife | Feminine |
سَيَّارَة | Sayyārah | Car | Feminine |
فُجِرَتْ | Fujirat | Exploded | Feminine |
تَفْعَل | Taf'al | You do, Doing | Masculine |
فَعْلَ | Fa'la | did | Masculine |
إفعَل | If'al | Do (Command) | Masculine |
قَبْلَ | Qabla | Before | |
الآن | Al-ān | Now | |
قُرْآن | Qur'ān | Quran | Masculine |
ذَهَبَ | Dhahaba | Went | Masculine |
يَذْهَبُ | Yadhabu | Goes, Going | Masculine |
اذْهَب | Idhhab | Go (Command) | Masculine |
سَاعَة | Sā'ah | Hour, O'clock, Time, Day of judgement| Feminine |
حِمَار | Ḥimār | Donkey | Masculine |
جَمَل | Jamal | Camel | Masculine |
حِصَان | Ḥiṣān | Horse | Masculine |
حَافِلَة | Ḥāfilah | Bus | Feminine |
طَائِرَة | Ṭā'irah | Airplane | Feminine |
قِطَار | Qiṭār | Train | Masculine |
أَيَّام | Ayyām | Days | Feminine |
شَهْر | Shahar | Month | Masculine |
سَنَة | Sanah | Year | Feminine |
عُطْلَة | ʿuṭlah | Holiday | Feminine |
يَوْم عَمَل | Yawm 'amal | Working day | Masculine |
أَكْنُسُ | Akinsu | I sweep, I vacuum | Masculine |
جَمِيل | Jameel | Beautiful | Masculine |
جَلَسَ | Jalasa | He sat | Masculine |
قَامَ | Qāma | He stood | Masculine |
غَسَلَ | Ghasala | Washed | Masculine |
لَطِيف | Latīf | Gentle, Kind, Gentleman | Masculine |
لَطِيفَة | Latīfah | Gentle, Kind, Gentlewoman | Feminine |
الكي | Al-ki | Ironing | Masculine |
لِبَاس | Libās | Garment, Clothing | Masculine |
ثِيَاب | Thiyāb | Clothes | Masculine |
مَلَابِس | Malābis | Clothes | Feminine |
أَجْدَاد | Ajdād | Grandfathers | Masculine |
اِغْسِل | Ighsil | Wash (Command) | Masculine |
طَبَق | Ṭabāq | Plate, Dish, Stage | Masculine |
عَادِل | 'Adil | Just, Fair | Masculine |
ظَالِم |  Ẓālim | Oppressor, Wrongdoer | Masculine |
مُبَكِّر | Mubakkir | Early | Masculine |
مُتَأَخِّر | Muta'akhkhir | Late | Masculine |
اللَّيْلَة | Al-laylah | Tonight | Feminine |
اليَوْم | Al-yawm | Today | Masculine |
الصَبَاح | Aṣ-ṣabāḥ | Morning | Masculine |
النَّهَار | An-nahār | Daytime | Masculine |
اللَّيْل | Al-layl | Nighttime | Masculine |
المَسَاء | Al-masā' | Evening | Masculine |
تَلا | Tala | Recite | Masculine |
يَتْلُو | Yatlu | Reciting | Masculine |
تِلاوَة | Tilāwah | Recitation | Feminine |
كُتُب | Kutub | Books | Feminine |
كَتَبَ | Kataba | Wrote | Masculine |
يَكْتُبُ | Yaktubu | Writin, He Writes | Masculine |
اكْتُب | Uktub | Write (Command) | Masculine |
كَاتِب | Kātib | Writer, Scribe | Masculine |
الله | Allāh | Allah | |
وَحْدَة | Waḥdah | Unit | Feminine |
